Certainly! Here are ten cities that are fun to visit but may not be as commonly known as popular tourist destinations:

1. Reykjavik, Iceland
2. Cartagena, Colombia
3. Porto, Portugal
4. Hoi An, Vietnam
5. Salvador, Brazil
6. Tallinn, Estonia
7. Luang Prabang, Laos
8. Valparaiso, Chile
9. Ljubljana, Slovenia
10. Zanzibar City, Tanzania

These cities offer unique cultural experiences, beautiful landscapes, and interesting attractions, making them exciting destinations for travelers seeking off-the-beaten-path adventures.
